#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"2.5Y8.5/10" 70.4381988078105 67.4453088063549 15.4458648382943
"2.5Y8.5/12" 71.2710908330163 67.5327899956846 10.336621991856
"2.5Y9/2" 77.0879783070122 76.9377447791775 58.7475237558942
"2.5Y9/4" 77.7310219837866 77.1269793912751 45.3911114470355
"5B2/2" 2.72112642178412 3.02612142055917 4.09886191158331
"5B2/4" 2.41873798049915 2.99940521109172 5.56366967546007
"5B2/6" 2.13785337500819 2.96824345362505 7.41506364555201
"5B3/2" 5.75548569790112 6.35063548250948 8.2623871488378
"5B3/4" 5.20032500398192 6.30528992482957 10.6652480345835
"5B3/6" 4.74096905421988 6.26100899152083 13.1763160502072
"5B3/8" 4.27518475046687 6.20990858249494 16.2020152109037
"5B4/2" 10.7467654236569 11.6441156111053 14.1835739180318
"5B4/4" 9.88530301525191 11.5819523777398 17.277909562081
"5B4/6" 9.16155544953132 11.5196453617657 20.6572646935117
"5B4/8" 8.37553554787411 11.4448517201275 24.8784794068863
"5B4/10" 7.64190658730944 11.3701195329979 29.1991409518973
"5B5/2" 17.9651222592376 19.1970511525245 22.4573606377131
"5B5/4" 16.7020356937744 19.1159499355794 26.2175694340554
"5B5/6" 15.6054101663456 19.0299103430865 30.6907832069153
"5B5/8" 14.5476920653899 18.9374095142289 35.741089773037
"5B5/10" 13.5196703455833 18.8412039216716 41.1369845406442
"5B6/2" 27.5467496672306 29.2061255505818 33.1612114340261
"5B6/4" 25.8362495988736 29.101626703429 37.8411313808883
"5B6/6" 24.211684740847 28.9869219464117 43.4812891521996
"5B6/8" 22.7656153788544 28.8700521536785 49.6438977297719
"5B6/10" 21.4343121347347 28.7522635448795 56.1058242339188
"5B7/2" 39.7733488308675 41.8671391905617 46.7316587972659
"5B7/4" 37.4416765114212 41.7319092440234 52.5528717659166
"5B7/6" 35.3750789951749 41.5958955981239 58.9618998913186
"5B7/8" 33.4902402930203 41.4569316836327 65.9605988963762
"5B8/2" 54.9437683470977 57.4817768849763 62.9589747770438
"5B8/4" 51.7490824517262 57.302646067624 70.4590320769073
"5B9/2" 73.2922828395023 76.5228569742743 83.285622507075
"5BG2/2" 2.62081780679151 3.03314122610333 3.35644944944051
"5BG2/4" 2.15933566285831 3.01574706721309 3.7838727913695
"5BG2/6" 1.77359792349523 3.00056565612796 4.19080993925889
"5BG3/2" 5.5645154581164 6.36340163839751 6.89523768941679
"5BG3/4" 4.69592105398331 6.33270714799095 7.54160446557696
"5BG3/6" 4.01712863325545 6.30751203295874 8.14014588839473
"5BG3/8" 3.36234003726647 6.28202936119759 8.80866778706196
"5BG4/2" 10.3628296698391 11.6581406825511 12.3352734988328
"5BG4/4" 9.05067139740016 11.6138345950682 13.1521587431132
"5BG4/6" 7.87450060550622 11.5724992859013 14.0097486398313
"5BG4/8" 6.75374694820271 11.5315033535 14.951309694996
"5BG5/2" 17.3289213397363 19.2114289107918 20.0800563883843
"5BG5/4" 15.5546558612686 19.154685688831 20.939746859554
